Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Image Src,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,product.metafields.custom.unidade,product.metafields.custom.catalogo,product.metafields.custom.dimensoes_do_produto,product.metafields.custom.composicao,product.metafields.custom.capacidade,product.metafields.custom.modo_de_uso,product.metafields.custom.icms,product.metafields.custom.ncm,product.metafields.custom.pis,product.metafields.custom.ipi,product.metafields.custom.cofins,product.metafields.custom.componente_de_kit,product.metafields.custom.resistencia_a_agua,Variant Taxable,Cost per item,Image Position,Variant Image,Product Category,Type,Collection,Status
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,"Já pensou em aliar funcionalidade e beleza em uma única peça? As caixas decorativas são itens versáteis, ajudam a organizar o espaço e ainda complementam a decoração. Elas são perfeitas para guardar pequenos objetos e acessórios como chaves, bijuterias, óculos e documentos.",MART,"ORGANIZADORES,OUTLET 2025,JP,PRETO",TRUE,,Default Title,,,,,16067,165.59,,4,585,g,TRUE,,7908103760674,585,shopify,deny,manual,PC,OUTLET 2025,7 x 17 x 26,55% MDF + 45% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44209000,0,0,0,FALSE,Não se aplica,TRUE,75.27,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,OFF WHITE",TRUE,,Default Title-2,,,,,18221,91.89,,2,270,g,TRUE,,7908103782218,270,shopify,deny,manual,PC,2025 CATALOGO ANUAL,4.5 x 13 x 21,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,41.77,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,OFF WHITE",TRUE,,Default Title-3,,,,,18222,119.5,,2,395,g,TRUE,,7908103782225,395,shopify,deny,manual,PC,2025 CATALOGO ANUAL,4.5 x 27 x 15,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,54.32,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,OFF WHITE",TRUE,,Default Title-4,,,,,18215,276.03,,1,840,g,TRUE,,7908103782157,840,shopify,deny,manual,PC,2025 CATALOGO ANUAL,11 x 23.5 x 27.5,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,125.47,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,OUTLET 2025,LM,BEGE",TRUE,,Default Title-5,,,,,19322,178.93,,2,905,g,TRUE,,7908103793221,905,shopify,deny,manual,PC,OUTLET 2025,7.5 x 22 x 33,80% MDF + 20% PU,,"Um material têxtil é todo material flexível composto por fibras ou filamentos entrelaçados ou trançados, podendo ser de origem natural ou sintética. Embora o PU (poliuretano) não seja propriamente um material têxtil, é amplamente utilizado para revestimentos devido à sua versatilidade e durabilidade. Feito de poliuretano, um polímero sintético, o PU oferece maior resistência ao rasgo, é impermeável e de fácil limpeza. Para higienizar o PU, recomenda-se o uso de um pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,81.33,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,OFF WHITE",TRUE,,Default Title-6,,,,,18216,239.21,,1,680,g,TRUE,,7908103782164,680,shopify,deny,manual,PC,2025 CATALOGO ANUAL,11 x 20 x 23.5,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,108.73,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,BEGE",TRUE,,Default Title-7,,,,,18220,119.5,,2,405,g,TRUE,,7908103782201,405,shopify,deny,manual,PC,2025 CATALOGO ANUAL,4 x 16 x 27,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,54.32,,,,,,draft
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,"ORGANIZADORES,2025 CATALOGO ANUAL,GH,BEGE",TRUE,,Default Title-8,,,,,18219,91.89,,2,285,g,TRUE,,7908103782195,285,shopify,deny,manual,PC,2025 CATALOGO ANUAL,4.5 x 21 x 12,80% MDF + 20% PU,,"Para limpeza é recomendado o uso de pano umedecido com água e sabão neutro, seguido de um pano seco.",0,44201900,0,0,0,FALSE,Não se aplica,TRUE,41.77,,,,,,draft
centro-mesa-ceramica,Centro de mesa em ceramica,,MART,"CENTROS DE MESA,OUTLET 2025,VE,ROSE",TRUE,,,,,,,19784,143.11,,2,1.52,kg,TRUE,,7908103797847,1520,shopify,deny,manual,PC,OUTLET 2025,8 x 32 x 24,100% CERAMICA,,Para limpeza é recomendado o uso de escova de cerdas macias ou espanador. Não é indicado o uso de produtos químicos ou abrasivos.,0,69139000,0,13,0,FALSE,Não se aplica,TRUE,65.05,,,,,,draft
centro-mesa-fibra-natural,Centro de mesa em fibra natural,,MART,"CENTROS DE MESA,OUTLET 2025,SS,NATURAL",TRUE,,,,,,,19067,153.34,,2,750,g,TRUE,,7908103790671,750,shopify,deny,manual,PC,OUTLET 2025,20 x 31 x 31,85% FIBRA NATURAL + 15% METAL,,"Os produtos devem ser mantidos em áreas cobertas e protegidos do sol, chuva e umidade. Por serem delicados, são indicados apenas para uso interno. Para limpeza, use uma escova de cerdas macias, evitar produtos químicos ou abrasivos.",0,46021900,0,0,0,FALSE,Não se aplica,TRUE,69.7,,,,,,draft
