Handle,Title,Vendor,Product Type,SKU,Barcode,Status,Published,Tags,Price,Compare At Price,Cost per item,Inventory Qty,Weight,Image Src,product.metafields.custom.unidade,product.metafields.custom.ncm,product.metafields.custom.cest,product.metafields.custom.cfop,product.metafields.custom.icms,product.metafields.custom.composicao
miniampulheta-vidro-5-minutos,Miniampulheta em vidro 5 minutos,MART,ADORNOS,19369-M,7908103793719,active,TRUE,,29.17,,13.26,4.0,0.07,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
miniampulheta-vidro-7-minutos,Miniampulheta em vidro 7 minutos,MART,ADORNOS,19369-G,7908103793702,active,TRUE,,36.12,,16.42,4.0,0.11,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
miniampulheta-vidro-3-minutos,Miniampulheta em vidro 3 minutos,MART,ADORNOS,19373-P,7908103793764,active,TRUE,,20.5,,9.32,4.0,0.055,,PC,70139900,,5102,,80% VIDRO + 20% AREIA DE VIDRO_x000D_
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,19440-C,7908103794426,active,TRUE,,42.9,,19.5,6.0,0.26,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,19440-B,7908103794419,active,TRUE,,42.9,,19.5,6.0,0.255,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,19440-A,7908103794433,active,TRUE,,42.9,,19.5,6.0,0.255,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17989 C,7908103779928,active,TRUE,,49.04,,22.29,3.0,0.175,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17989 B,7908103779911,active,TRUE,,49.04,,22.29,3.0,0.205,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17989 A,7908103779904,active,TRUE,,49.04,,22.29,3.0,0.235,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17561 A,7908103775623,active,TRUE,,61.31,,27.87,3.0,0.215,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17561 B,7908103775630,active,TRUE,,61.31,,27.87,3.0,0.28,,PC,69139000,,5102,,100% CERAMICA
minivaso-ceramica,Minivaso em ceramica,MART,VASOS,17561 C,7908103775647,active,TRUE,,61.31,,27.87,3.0,0.195,,PC,69139000,,5102,,100% CERAMICA
minivaso-polirresina,Minivaso em polirresina,MART,VASOS,17827 B,7908103778297,active,TRUE,,49.04,,22.29,2.0,0.08,,PC,39264000,,5102,,100% POLIRRESINA
minivaso-polirresina,Minivaso em polirresina,MART,VASOS,17827 A,7908103778280,active,TRUE,,49.04,,22.29,2.0,0.22,,PC,39264000,,5102,,100% POLIRRESINA
minivaso-polirresina,Minivaso em polirresina,MART,VASOS,17827 C,7908103778303,active,TRUE,,49.04,,22.29,2.0,0.215,,PC,39264000,,5102,,100% POLIRRESINA
minivaso-vidro,Minivaso em vidro,MART,VASOS,19665 - P,7908103796666,active,TRUE,,19.73,,8.97,6.0,0.2,,PC,70139900,,5102,,100% VIDRO
minivaso-vidro,Minivaso em vidro,MART,VASOS,19665-M,7908103796673,active,TRUE,,28.12,,12.78,6.0,0.2,,PC,70139900,,5102,,100% VIDRO
minivaso-vidro,Minivaso em vidro,MART,VASOS,19665-G,7908103796680,active,TRUE,,34.83,,15.83,6.0,0.2,,PC,70139900,,5102,,100% VIDRO
kit-banheiro-ceramica-3-pcs,Kit para banheiro em ceramica - 3 Pcs,MART,ACESSORIOS DE BANHEIRO,18403,7908103784038,active,TRUE,,183.96,,83.62,3.0,0.93,,KT,69139000,,5102,,100% CERAMICA
kit-banheiro-polirresina-3-pcs,Kit para banheiro em polirresina - 3 Pcs,MART,ACESSORIOS DE BANHEIRO,18407,7908103784076,active,TRUE,,147.14,,66.88,3.0,0.82,,KT,39264000,,5102,,100% CERAMICA
porta-velas-ceramica,Porta-Velas em ceramica,MART,VELAS E ACESSORIOS,19130-M,7908103791326,active,TRUE,,54.23,,24.65,2.0,0.31,,PC,69139000,,5102,,100% CERAMICA_x000D_
porta-velas-ceramica,Porta-Velas em ceramica,MART,VELAS E ACESSORIOS,19130-G,7908103791333,active,TRUE,,67.14,,30.52,2.0,0.36,,PC,69139000,,5102,,100% CERAMICA_x000D_
porta-velas-ceramica,Porta-Velas em ceramica,MART,VELAS E ACESSORIOS,19130-P,7908103791319,active,TRUE,,38.1,,17.32,2.0,0.215,,PC,69139000,,5102,,100% CERAMICA_x000D_
vaso-ceramica,Vaso em ceramica,MART,VASOS,20740-P,7908103807416,active,TRUE,,87.96,,39.98,2.0,0.45,,PC,69139000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,20740-G,7908103807430,active,TRUE,,154.97,,70.44,2.0,1.2,,PC,69139000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,20740-M,7908103807423,active,TRUE,,125.16,,56.89,2.0,0.645,,PC,69139000,,5102,,100% CERAMICA
porta-retrato-10x15,Porta-Retrato - 10X15,MART,PORTA-RETRATOS,19257,7908103792576,active,TRUE,,27.43,,12.47,8.0,0.205,,PC,39264000,,5102,,70% POLIESTIRENO + 10% VIDRO + 20% MDF_x000D_
porta-retrato-15x20,Porta-Retrato - 15X20,MART,PORTA-RETRATOS,19258,7908103792583,active,TRUE,,36.65,,16.66,8.0,0.335,,PC,39264000,,5102,,70% POLIESTIRENO + 10% VIDRO + 20% MDF_x000D_
porta-retrato-mdf-linho-10x15,Porta-Retrato em mdf com linho - 10X15,MART,PORTA-RETRATOS,15709,7908103757094,active,TRUE,,45.85,,20.84,8.0,0.295,,PC,44149000,,5102,,70% MDF + 20% VIDRO + 5% PAPEL + 5% LINHO
porta-retrato-mdf-linho-15x20,Porta-Retrato em mdf com linho - 15X20,MART,PORTA-RETRATOS,15710,7908103757100,active,TRUE,,64.26,,29.21,8.0,0.44,,PC,44149000,,5102,,70% MDF + 20% VIDRO + 5% PAPEL + 5% LINHO
porta-retrato-metal-10x15,Porta-Retrato em metal - 10X15,MART,PORTA-RETRATOS,11259,7908103712598,active,TRUE,,23.01,,10.46,12.0,0.095,,PC,83063000,,5102,,55% METAL (FERRO) + 35% PU + 10% VIDRO
porta-retrato-metal-vidro-15x20,Porta-Retrato em metal e vidro - 15X20,MART,PORTA-RETRATOS,11260,7908103712604,active,TRUE,,32.23,,14.65,12.0,0.21,,PC,83063000,,5102,,75% METAL+10% PAPEL+10% VIDRO+5% TECIDO
porta-retrato-metal-vidro-20x25,Porta-Retrato em metal e vidro - 20X25,MART,PORTA-RETRATOS,11261,7908103712611,active,TRUE,,41.43,,18.83,12.0,0.35,,PC,83063000,,5102,,55% METAL (FERRO) + 35% PU + 10% VIDRO
porta-retrato-poliestireno-10x15,Porta-Retrato em poliestireno - 10X15,MART,PORTA-RETRATOS,17326,7908103773261,active,TRUE,,32.23,,14.65,8.0,0.115,,PC,39264000,,5102,,70% POLIESTIRENO + 15% MDF + 15%VIDRO
porta-retrato-poliestireno-15x20,Porta-Retrato em poliestireno - 15X20,MART,PORTA-RETRATOS,17327,7908103773278,active,TRUE,,41.43,,18.83,8.0,0.31,,PC,39264000,,5102,,70% POLIESTIRENO + 15% MDF + 15%VIDRO
porta-retrato-poliestireno-vidro-10x15,Porta-Retrato em poliestireno e vidro - 10X15,MART,PORTA-RETRATOS,20641,7908103806419,active,TRUE,,27.63,,12.56,8.0,0.185,,PC,39264000,,5102,,80% POLIESTIRENO  10% VIDRO 10% MDF
porta-retrato-poliestireno-vidro-10x15,Porta-Retrato em poliestireno e vidro - 10X15,MART,PORTA-RETRATOS,20694,7908103806945,active,TRUE,,32.23,,14.65,8.0,0.185,,PC,39264000,,5102,,70% POLIESTIRENO + 10% VIDRO + 20% MDF_x000D_
porta-retrato-poliestireno-vidro-10x15,Porta-Retrato em poliestireno e vidro - 10X15,MART,PORTA-RETRATOS,20646,7908103806464,active,TRUE,,36.65,,16.66,8.0,0.235,,PC,39264000,,5102,,80% POLIESTIRENO 10% VIDRO 10% MDF
porta-retrato-poliestireno-vidro-10x15,Porta-Retrato em poliestireno e vidro - 10X15,MART,PORTA-RETRATOS,21035,7908103810355,active,TRUE,,36.65,,16.66,8.0,0.32,,PC,39264000,,5102,,40% POLIESTIRENO + 35% PAPEL + 25% VIDRO
porta-retrato-poliestireno-vidro-15x20,Porta-Retrato em poliestireno e vidro - 15X20,MART,PORTA-RETRATOS,21036,7908103810362,active,TRUE,,45.85,,20.84,8.0,0.46,,PC,39264000,,5102,,40% POLIESTIRENO + 35% PAPEL + 25% VIDRO
porta-retrato-poliestireno-vidro-15x20,Porta-Retrato em poliestireno e vidro - 15X20,MART,PORTA-RETRATOS,20647,7908103806471,active,TRUE,,45.85,,20.84,8.0,0.385,,PC,39264000,,5102,,80% POLIESTIRENO 10% VIDRO 10% MDF
porta-retrato-poliestireno-vidro-15x20,Porta-Retrato em poliestireno e vidro - 15X20,MART,PORTA-RETRATOS,20695,7908103806952,active,TRUE,,41.43,,18.83,8.0,0.315,,PC,39264000,,5102,,70% POLIESTIRENO + 10% VIDRO + 20% MDF_x000D_
porta-retrato-poliestireno-vidro-15x20,Porta-Retrato em poliestireno e vidro - 15X20,MART,PORTA-RETRATOS,20642,7908103806426,active,TRUE,,33.77,,15.35,8.0,0.32,,PC,39264000,,5102,,80% POLIESTIRENO  10% VIDRO 10% MDF
porta-retrato-poliestireno-vidro-20x25,Porta-Retrato em poliestireno e vidro - 20X25,MART,PORTA-RETRATOS,20643,7908103806433,active,TRUE,,39.91,,18.14,8.0,0.485,,PC,39264000,,5102,,80% POLIESTIRENO 10% VIDRO 10% MDF
porta-sabonete-liquido-ceramica,Porta-Sabonete liquido em ceramica,MART,ACESSORIOS DE BANHEIRO,20615,7908103806150,active,TRUE,,61.25,,27.84,3.0,0.485,,PC,69139000,,5102,,90% CERAMICA + 10% PLASTICO
porta-sabonete-liquido-cimento,Porta-Sabonete liquido em cimento,MART,ACESSORIOS DE BANHEIRO,18355,7908103783550,active,TRUE,,46.05,,20.93,6.0,0.625,,PC,68109900,,5102,,100% CIMENTO
porta-sabonete-liquido-cimento,Porta-Sabonete liquido em cimento,MART,ACESSORIOS DE BANHEIRO,19171,7908103791715,active,TRUE,,55.11,,25.05,6.0,0.63,,PC,68109900,,5102,,100% CIMENTO
vaso-ceramica,Vaso em ceramica,MART,VASOS,19955,7908103799551,active,TRUE,,282.22,,128.28,2.0,2.455,,PC,69139000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,19954,7908103799544,active,TRUE,,208.56,,94.8,2.0,2.015,,PC,69139000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,15794,7908103757940,active,TRUE,,110.31,,50.14,2.0,0.865,,PC,69139000,,5102,,100% CERÂMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,13984,7908103739847,active,TRUE,,102.19,,46.45,6.0,1.855,,PC,69139000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,18277,7908103782775,active,TRUE,,122.63,,55.74,2.0,1.805,,PC,69131000,,5102,,100% CERAMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,15791,7908103757919,active,TRUE,,78.25,,35.57,2.0,0.695,,PC,69139000,,5102,,100% CERÂMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,15793,7908103757933,active,TRUE,,69.06,,31.39,2.0,0.56,,PC,69139000,,5102,,100% CERÂMICA
vaso-ceramica,Vaso em ceramica,MART,VASOS,18278,7908103782782,active,TRUE,,159.46,,72.48,2.0,2.47,,PC,69131000,,5102,,100% CERAMICA
vaso-metal,Vaso em metal,MART,VASOS,19942,7908103799421,active,TRUE,,137.08,,62.31,3.0,1.87,,PC,83062900,,5102,,100% METAL_x000D_
vaso-metal,Vaso em metal,MART,VASOS,19943,7908103799438,active,TRUE,,152.13,,69.15,3.0,2.395,,PC,83062900,,5102,,100% METAL_x000D_
vaso-vidro,Vaso em vidro,MART,VASOS,18691,7908103786919,active,TRUE,,102.19,,46.45,4.0,1.485,,PC,70139900,,5102,,100% VIDRO
vaso-vidro,Vaso em vidro,MART,VASOS,18692,7908103786926,active,TRUE,,122.65,,55.75,4.0,1.81,,PC,70139900,,5102,,100% VIDRO
