Handle,Title,Body (HTML),Vendor,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Price,Variant Compare At Price,Variant Inventory Qty,Variant Weight,Variant Weight Unit,Variant Requires Shipping,Image Src,Variant Barcode,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,product.metafields.custom.unidade,product.metafields.custom.catalogo,product.metafields.custom.dimensoes_do_produto,product.metafields.custom.composicao,product.metafields.custom.capacidade,product.metafields.custom.modo_de_uso,product.metafields.custom.icms,product.metafields.custom.ncm,product.metafields.custom.pis,product.metafields.custom.ipi,product.metafields.custom.cofins,product.metafields.custom.componente_de_kit,product.metafields.custom.resistencia_a_agua,Variant Taxable,Cost per item,Image Position,Variant Image,Product Category,Type,Collection,Status
aparadores-livros-polirresina,Aparadores de livros em polirresina,,MART,,TRUE,,,,,,,19487,165.55,,2.0,1.02,,,,7908103794877,,,,,PC,,,100% POLIRRESINA_x000D_,,,,39264000,,,,,,,75.25,,,,ADORNOS,,active
bandeja-mdf-rattan,Bandeja em mdf e rattan,,MART,,TRUE,,,,,,,16752,114.42,,2.0,0.84,,,,7908103767529,,,,,PC,,,50% MDF + 25% VIDRO + 25% PVC,,,,44209000,,,,,,,52.01,,,,BANDEJAS,,active
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,,TRUE,,,,,,,09616,51.04,,6.0,0.41,,,,7899525696163,,,,,PC,,,70% METAL (FERRO) + 30% ESPELHO,,,,73239900,,,,,,,23.2,,,,BANDEJAS,,active
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,,TRUE,,,,,,,20732,91.89,,3.0,0.48,,,,7908103807324,,,,,PC,,,70% METAL (FERRO) + 30% ESPELHO,,,,73239900,,,,,,,41.77,,,,BANDEJAS,,active
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,,TRUE,,,,,,,20733,110.31,,3.0,0.66,,,,7908103807331,,,,,PC,,,70% METAL (FERRO) + 30% ESPELHO,,,,73239900,,,,,,,50.14,,,,BANDEJAS,,active
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,,TRUE,,,,,,,09617,71.5,,6.0,0.545,,,,7899525696170,,,,,PC,,,70% METAL (FERRO) + 30% ESPELHO,,,,73239900,,,,,,,32.5,,,,BANDEJAS,,active
bandeja-metal-vidro,Bandeja em metal com vidro,,MART,,TRUE,,,,,,,11980,45.94,,6.0,0.365,,,,7908103719801,,,,,PC,,,70% METAL (FERRO) + 30% VIDRO,,,,73239900,,,,,,,20.88,,,,BANDEJAS,,active
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,,TRUE,,,,,,,19587,67.39,,3.0,0.665,,,,7908103795874,,,,,PC,,,10% METAL + 90% VIDRO_x000D_,,,,73239900,,,,,,,30.63,,,,BANDEJAS,,active
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,,TRUE,,,,,,,19588,79.66,,3.0,0.94,,,,7908103795881,,,,,PC,,,10% METAL + 90% VIDRO_x000D_,,,,73239900,,,,,,,36.21,,,,BANDEJAS,,active
bandeja-vidro-espelho,Bandeja em vidro com espelho,,MART,,TRUE,,,,,,,19586,55.11,,3.0,0.475,,,,7908103795867,,,,,PC,,,10% METAL + 90% VIDRO_x000D_,,,,73239900,,,,,,,25.05,,,,BANDEJAS,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,16067,165.59,,4.0,0.585,,,,7908103760674,,,,,PC,,,55% MDF + 45% PU,,,,44209000,,,,,,,75.27,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18221,91.89,,2.0,0.27,,,,7908103782218,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,41.77,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18222,119.5,,2.0,0.395,,,,7908103782225,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,54.32,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18215,276.03,,1.0,0.84,,,,7908103782157,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,125.47,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,19322,178.93,,2.0,0.905,,,,7908103793221,,,,,PC,,,80% MDF + 20% PU_x000D_,,,,44201900,,,,,,,81.33,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18216,239.21,,1.0,0.68,,,,7908103782164,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,108.73,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18220,119.5,,2.0,0.405,,,,7908103782201,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,54.32,,,,ORGANIZADORES,,active
caixa-mdf-revestimento-pu,Caixa em mdf com revestimento em pu,,MART,,TRUE,,,,,,,18219,91.89,,2.0,0.285,,,,7908103782195,,,,,PC,,,80% MDF + 20% PU,,,,44201900,,,,,,,41.77,,,,ORGANIZADORES,,active
centro-mesa-ceramica,Centro de mesa em ceramica,,MART,,TRUE,,,,,,,19784,143.11,,2.0,1.52,,,,7908103797847,,,,,PC,,,100% CERAMICA,,,,69139000,,,,,,,65.05,,,,CENTROS DE MESA,,active
centro-mesa-fibra-natural,Centro de mesa em fibra natural,,MART,,TRUE,,,,,,,19067,153.34,,2.0,0.75,,,,7908103790671,,,,,PC,,,85% FIBRA NATURAL + 15% METAL_x000D_,,,,46021900,,,,,,,69.7,,,,CENTROS DE MESA,,active
colar-decorativo-madeira,Colar decorativo em madeira,,MART,,TRUE,,,,,,,15133,45.85,,3.0,0.125,,,,7908103751337,,,,,PC,,,90% MADEIRA + 10% CORDA DE JUTA,,,,44201900,,,,,,,20.84,,,,ADORNOS,,active
colar-decorativo-madeira,Colar decorativo em madeira,,MART,,TRUE,,,,,,,15130,55.07,,3.0,0.16,,,,7908103751306,,,,,PC,,,90% MADEIRA + 10% CORDA DE JUTA,,,,44201900,,,,,,,25.03,,,,ADORNOS,,active
copo-ceramica,Copo em ceramica,,MART,,TRUE,,,,,,,20616,48.97,,3.0,0.28,,,,7908103806167,,,,,PC,,,100% CERAMICA,,,,69139000,,,,,,,22.26,,,,ACESSORIOS DE BANHEIRO,,active
copo-cimento,Copo em cimento,,MART,,TRUE,,,,,,,19172,25.48,,6.0,0.305,,,,7908103791722,,,,,PC,,,100% CIMENTO,,,,68109900,,,,,,,11.58,,,,ACESSORIOS DE BANHEIRO,,active
copo-cimento,Copo em cimento,,MART,,TRUE,,,,,,,18356,36.7,,6.0,0.35,,,,7908103783567,,,,,PC,,,100% CIMENTO,,,,68109900,,,,,,,16.68,,,,ACESSORIOS DE BANHEIRO,,active
escultura-mulher-polirresina,Escultura mulher em polirresina,,MART,,TRUE,,,,,,,18386,73.48,,2.0,0.345,,,,7908103783864,,,,,PC,,,100% POLIRRESINA,,,,39264000,,,,,,,33.4,,,,ESCULTURAS,,active
escultura-mulher-polirresina,Escultura mulher em polirresina,,MART,,TRUE,,,,,,,18385,73.48,,2.0,0.32,,,,7908103783857,,,,,PC,,,100% POLIRRESINA,,,,39264000,,,,,,,33.4,,,,ESCULTURAS,,active
ampulheta-vidro-1-minuto,Ampulheta em vidro 1 minuto,,MART,,TRUE,,,,,,,18739-P,21.96,,4.0,0.025,,,,7908103787404,,,,,PC,,,80% VIDRO + 20% AREIA DE VIDRO,,,,70139900,,,,,,,9.98,,,,ADORNOS,,active
ampulheta-vidro-5-minutos,Ampulheta em vidro 5 minutos,,MART,,TRUE,,,,,,,18739-G,38.7,,4.0,0.065,,,,7908103787428,,,,,PC,,,80% VIDRO + 20% AREIA DE VIDRO,,,,70139900,,,,,,,17.59,,,,ADORNOS,,active
ampulheta-vidro-3-minutos,Ampulheta em vidro 3 minutos,,MART,,TRUE,,,,,,,18739-M,31.24,,4.0,0.04,,,,7908103787411,,,,,PC,,,80% VIDRO + 20% AREIA DE VIDRO,,,,70139900,,,,,,,14.2,,,,ADORNOS,,active
bandeja-madeira,Bandeja em madeira,,MART,,TRUE,,,,,,,20917-P,122.72,,3.0,0.475,,,,7908103809182,,,,,PC,,,100%  MADEIRA (PINHEIRO)_x000D_,,,,44209000,,,,,,,55.78,,,,BANDEJAS,,active
bandeja-madeira,Bandeja em madeira,,MART,,TRUE,,,,,,,20917-G,184.07,,3.0,0.905,,,,7908103809199,,,,,PC,,,100%  MADEIRA (PINHEIRO)_x000D_,,,,44209000,,,,,,,83.67,,,,BANDEJAS,,active
bandeja-metal-espelho,Bandeja em metal com espelho,,MART,,TRUE,,,,,,,20724-G,110.37,,2.0,0.75,,,,7908103807263,,,,,PC,,,70% FERRO + 30% ESPELHO_x000D_,,,,73239900,,,,,,,50.17,,,,BANDEJAS,,active
